image_filename,source_csv,capture_date,location,crop_type,resolution,device_id,gps_coordinates
atok_paoay_20260213_020038_9d968873.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453450 120.590833
atok_paoay_20260213_020047_890da27a.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453450 120.590833
atok_paoay_20260213_020055_70b6c8d7.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453450 120.590833
atok_paoay_20260213_020106_bc293316.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453446 120.590853
atok_paoay_20260213_020205_fa28dc59.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453437 120.590871
atok_paoay_20260213_020220_7773e394.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453440 120.590851
atok_paoay_20260213_020235_b0973c28.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453440 120.590851
atok_paoay_20260213_020310_e3f02c1e.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453440 120.590851
atok_paoay_20260213_020325_ca259be4.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453440 120.590851
atok_paoay_20260213_020512_75109355.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590865
atok_paoay_20260213_020518_b3628377.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590865
atok_paoay_20260213_020527_4cf02fa2.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590865
atok_paoay_20260213_020533_7f2afbfd.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590865
atok_paoay_20260213_020554_f109615f.jpg,soilscan_agricapture_collections,2026-02-13,Atok Paoay,Cabbage,1080p,realme_RMX3840_858067,16.453438 120.590865

NOTE: This CSV shows first 100 field-mode images. Additional 370 records exist in the agricapture_data.csv files.
All 470 records have capture_mode='field' confirmed from CSV metadata.
